Domain,Area,Item,Item Code (CPC),Year,Area_Harvested_in_Hectares,Yield_Value in kg/ha,Producing Animals/Slaughtered_Value,Laying_Value,Yield/Carcass Weight_Value,Milk Animals_Value,Production in Hectares
Crops and livestock products,Afghanistan,Olive oil,2167.0,2022,0.0,0.0,0.0,0.0,0.0,0.0,1050.0
Crops and livestock products,Afghanistan,Olives,1450.0,2019,2206.0,3593.7,0.0,0.0,0.0,0.0,7926.57
Crops and livestock products,Afghanistan,Olives,1450.0,2020,2208.0,3633.3,0.0,0.0,0.0,0.0,8021.47
Crops and livestock products,Afghanistan,Olives,1450.0,2021,0.0,3477.7,0.0,0.0,0.0,0.0,7676.13
Crops and livestock products,Afghanistan,Olives,1450.0,2022,2207.0,3503.0,0.0,0.0,0.0,0.0,7730.68
Crops and livestock products,Afghanistan,Olives,1450.0,2023,2207.0,3527.1,0.0,0.0,0.0,0.0,7785.23
Crops and livestock products,Afghanistan,"Onions and shallots, dry (excluding dehydrated)",1253.02,2019,18343.0,19229.4,0.0,0.0,0.0,0.0,352725.0
Crops and livestock products,Afghanistan,"Onions and shallots, dry (excluding dehydrated)",1253.02,2020,19351.0,16847.0,0.0,0.0,0.0,0.0,326006.0
Crops and livestock products,Afghanistan,"Onions and shallots, dry (excluding dehydrated)",1253.02,2021,30027.0,17750.7,0.0,0.0,0.0,0.0,533000.0
Crops and livestock products,Afghanistan,"Onions and shallots, dry (excluding dehydrated)",1253.02,2022,30470.0,17755.2,0.0,0.0,0.0,0.0,541000.0
Crops and livestock products,Afghanistan,"Onions and shallots, dry (excluding dehydrated)",1253.02,2023,34000.0,17235.3,0.0,0.0,0.0,0.0,586000.0
Crops and livestock products,Afghanistan,Oranges,1323.0,2020,415.0,7231.3,0.0,0.0,0.0,0.0,3001.0
Crops and livestock products,Afghanistan,Oranges,1323.0,2021,1782.0,6718.5,0.0,0.0,0.0,0.0,11972.44
Crops and livestock products,Afghanistan,Oranges,1323.0,2022,0.0,5814.4,0.0,0.0,0.0,0.0,10611.25
Crops and livestock products,Afghanistan,Oranges,1323.0,2023,1242.0,5946.8,0.0,0.0,0.0,0.0,7385.04
Crops and livestock products,Afghanistan,Other berries and fruits of the genus vaccinium n.e.c.,1355.9,2019,6117.0,4803.7,0.0,0.0,0.0,0.0,29384.09
Crops and livestock products,Afghanistan,Other berries and fruits of the genus vaccinium n.e.c.,1355.9,2020,6396.0,4342.1,0.0,0.0,0.0,0.0,27772.0
Crops and livestock products,Afghanistan,Other berries and fruits of the genus vaccinium n.e.c.,1355.9,2021,8376.0,4006.8,0.0,0.0,0.0,0.0,33560.6
Crops and livestock products,Afghanistan,Other berries and fruits of the genus vaccinium n.e.c.,1355.9,2022,8021.0,4099.7,0.0,0.0,0.0,0.0,32883.72
